N,omega,Actual,ln_N,S_correct,Predicted,Bias,formula,time_seconds,tier
1000,2,28,6.907755278982137,1.3333333333333333,29.26660513487008,-4.327817076948782,,,
1020,4,51,6.927557906278317,2.844444444444444,63.184126397058805,-19.283524346751072,,,
1400,3,34,7.24422751560335,1.6,43.20305464059682,-21.3018609844984,,,
2100,4,97,7.649692623711514,3.2,112.209610038246,-13.55464120502861,,,
2200,3,46,7.696212639346407,1.4814814814814814,53.56900496293612,-14.129448490172706,,,
2310,5,114,7.745002803515839,3.555555555555556,132.79395503285124,-14.152718795220686,,,
2600,3,49,7.863266724009573,1.4545454545454544,58.79395671655597,-16.658101042208067,,,
2730,5,128,7.912056888179006,3.4909090909090903,145.81996543862306,-12.220525073518578,,,
3000,3,104,8.006367567650246,2.6666666666666665,118.7435515293927,-12.416296581581712,,,
3300,4,120,8.101677747454572,2.962962962962963,140.8152343315512,-14.781947727716366,,,
3400,3,62,8.131530710604252,1.422222222222222,68.99134812037359,-10.133659235322288,,,
3570,5,154,8.180320874773685,3.4133333333333327,171.23919847893907,-10.06732023512674,,,
3900,4,140,8.268731832117737,2.9090909090909087,155.15790317989976,-9.76934005245272,,,
3990,5,163,8.29154650988391,3.3882352941176466,183.60361647223732,-11.22179228716491,,,
4200,4,165,8.34283980427146,3.2,179.71857780949367,-8.189792056498321,,,
4620,5,190,8.438149984075784,3.555555555555556,213.4863810863652,-11.00134864193694,,,
5000,2,76,8.517193191416238,1.3333333333333333,84.64768234415968,-10.216088739441227,,,
5100,4,167,8.536995818712418,2.844444444444444,183.13037980752543,-8.808139766039288,,,
6000,3,178,8.699514748210191,2.6666666666666665,192.74518467107552,-7.6500923725998895,,,
6600,4,211,8.794824928014517,2.962962962962963,229.32543262821667,-7.991016268102256,,,
7000,3,119,8.85366542803745,1.6,129.20346817822312,-7.8972092019607905,,,
7800,4,233,8.961879012677683,2.9090909090909087,254.0790342633732,-8.296250938014444,,,
10000,2,127,9.210340371976184,1.3333333333333333,139.67723226150574,-9.076090681530143,,,
10200,4,294,9.230142999272362,2.844444444444444,302.3595010261928,-2.7647555303607168,,,
11000,3,153,9.305650551780507,1.4814814814814814,166.51476702336026,-8.116257353598126,,,
13000,3,177,9.472704636443671,1.4545454545454544,185.10282218683523,-4.37747090568754,,,
14000,3,196,9.546812608597396,1.6,215.2122784243141,-8.927129327832798,,,
15000,3,355,9.615805480084347,2.6666666666666665,377.7373921438753,-6.019364938913677,,,
17000,3,215,9.740968623038354,1.422222222222222,221.3791696357888,-2.881558209059926,,,
21000,4,547,9.95227771670556,3.2,584.719884441848,-6.450932394381281,,,
22000,3,272,9.998797732340453,1.4814814814814814,280.4812851263121,-3.0238328102684813,,,
23100,5,671,10.047587896509883,3.555555555555556,698.7268002012277,-3.968189025130074,,,
26000,3,301,10.16585181700362,1.4545454545454544,312.97041849230334,-3.824776331887647,,,
27300,5,738,10.21464198117305,3.4909090909090903,779.8493282785099,-5.366335106153242,,,
30000,3,602,10.308952660644293,2.6666666666666665,640.6552644259285,-6.033707451161947,,,
30030,6,905,10.309952160977376,3.8787878787878793,932.5819327667408,-2.9575881536662303,,,
33000,4,743,10.404262840448617,2.962962962962963,766.3184741261141,-3.0429220896319595,,,
34000,3,370,10.4341158035983,1.422222222222222,376.4473762211945,-1.712689907926508,,,
35000,3,423,10.46310334047155,1.6,433.1407677089639,-2.341217559040224,,,
35700,5,884,10.48290596776773,3.4133333333333327,938.3594842705872,-5.793034032457441,,,
39000,4,821,10.571316925111784,2.9090909090909087,856.708186431882,-4.168068777374902,,,
39270,6,1079,10.578216147572055,3.792592592592592,1122.917017590146,-3.910976225509048,,,
39900,5,999,10.594131602877956,3.3882352941176466,1015.7235533804512,-1.6464670258746408,,,
42000,4,984,10.645424897265505,3.2,998.490751153104,-1.4512654359962105,,,
43890,6,1172,10.68944178268228,3.764705882352941,1215.8312006875983,-3.6050399646604174,,,
46200,5,1152,10.74073507706983,3.555555555555556,1195.351802012288,-3.6266981769976216,,,
51000,4,978,10.839580911706465,2.844444444444444,1033.4407354436246,-5.364674871251864,,,
65536,1,435,11.090354888959125,1.0,442.8365861908485,-1.7696338638721176,,,
66000,4,1284,11.097410021008562,2.962962962962963,1319.4628754126609,-2.687675119435997,,,
70000,3,719,11.156250521031495,1.6,746.5439612545605,-3.689529710785297,,,
78000,4,1394,11.26446410567173,2.9090909090909087,1479.2767060729025,-5.764756906048368,,,
102000,4,1747,11.532728092266408,2.844444444444444,1792.154136193995,-2.519545349480338,,,
105000,4,2037,11.56171562913966,3.2,2063.601724232581,-1.2890919754621877,,,
115500,5,2401,11.657025808943985,3.555555555555556,2475.358382925054,-3.00394413342228,,,
131072,1,749,11.78350206951907,1.0,770.8718935569573,-2.837292906871462,,,
165000,4,2643,12.013700752882718,2.962962962962963,2751.682062430802,-3.949659152656381,,,
195000,4,3043,12.180754837545884,2.9090909090909087,3094.5790525893067,-1.666755048514572,,,
210000,4,3490,12.254862809699606,3.2,3615.979425585629,-3.483964114791001,,,
231000,5,4289,12.35017298950393,3.555555555555556,4342.924997483359,-1.2416746205519946,,,
255000,4,3692,12.449018824140564,2.844444444444444,3767.018875428984,-1.991465344607288,,,
262144,1,1314,12.476649250079015,1.0,1354.665408471517,-3.001878413460036,,,
273000,5,4771,12.517227074167096,3.4909090909090903,4888.994693172426,-2.413475582970217,,,
300300,6,5752,12.61253725397142,3.8787878787878793,5874.386734458482,-2.0833959354527294,,,
330000,4,4768,12.706847933442663,2.962962962962963,4849.379945752005,-1.678151571177531,,,
357000,5,5859,12.785491060761776,3.4133333333333327,5960.503128112621,-1.7029288623955796,,,
390000,4,5390,12.873902018105827,2.9090909090909087,5464.529663562512,-1.3638806658782672,,,
392700,6,7078,12.8808012405661,3.792592592592592,7164.848401646594,-1.2121456976903309,,,
399000,5,6379,12.896716695872,3.3882352941176466,6485.684218191071,-1.6449184789454032,,,
438900,6,7658,12.992026875676324,3.764705882352941,7797.444488337232,-1.7883357623873049,,,
462000,5,7555,13.043320170063875,3.555555555555556,7683.877695836822,-1.6772481413472848,,,
510000,4,6598,13.142166004700508,2.844444444444444,6672.327069447844,-1.113960222186695,,,
510510,7,9493,13.143165505033592,4.137373737373737,9713.259640872264,-2.267618173670937,,,
524288,1,2367,13.16979643063896,1.0,2400.1838912832104,-1.3825562034527823,,,
1048576,1,4239,13.862943611198906,1.0,4283.289068769308,-1.0339967267731776,,,
1155000,5,16262,13.959610901938031,3.555555555555556,16519.25930381276,-1.5573295332520296,,,
1365000,5,18416,14.126664986601195,3.4909090909090903,18670.602688840245,-1.3636554378205767,,,
1785000,5,22475,14.394928973195876,3.4133333333333327,22903.04010771203,-1.868922665720249,,,
1995000,5,24597,14.5061546083061,3.3882352941176466,24982.54625433297,-1.5432624457408994,,,
2097152,1,7471,14.556090791758852,1.0,7692.515331916742,-2.879621584862635,,,
2310000,5,29389,14.652758082497977,3.555555555555556,29692.11166580991,-1.0208491373785928,,,
2552550,7,37302,14.752603417467691,4.137373737373737,37613.648911757184,-0.828552721615289,,,
2730000,5,33074,14.819812167161142,3.4909090909090903,33606.00128613235,-1.583054412224524,,,
3003000,6,39979,14.915122346965468,3.8787878787878793,40500.76970954067,-1.28829578618541,,,
3570000,5,40783,15.08807615375582,3.4133333333333327,41313.70950374471,-1.2845844881021955,,,
3927000,6,49095,15.183386333560149,3.792592592592592,49803.78225016839,-1.4231494439681736,,,
3990000,5,44744,15.199301788866046,3.3882352941176466,45104.18977881248,-0.7985727724604467,,,
4194304,1,13705,15.249237972318795,1.0,13893.65860602926,-1.3578756422544418,,,
4389000,6,53770,15.29461196867037,3.764705882352941,54379.35116442861,-1.120556151150272,,,
4620000,5,53168,15.345905263057922,3.555555555555556,53667.45263111644,-0.930643447061719,,,
5105100,7,67324,15.445750598027638,4.137373737373737,68036.592491046,-1.0473665199205602,,,
